term,corr,state,freq
cortex anterior,0.022,0,alpha
cortex dmpfc,0.022,0,alpha
medial lateral,0.022,0,alpha
touch,0.022,0,alpha
memories,0.022,0,alpha
communication,0.021,0,alpha
pleasant,0.021,0,alpha
noxious,0.021,0,alpha
personality traits,0.021,0,alpha
complexity,0.021,0,alpha
cortex lateral,0.021,0,alpha
dorsal anterior,0.021,0,alpha
positive negative,0.021,0,alpha
lateral,0.02,0,alpha
insula anterior,0.02,0,alpha
affective,0.02,0,alpha
default,0.02,0,alpha
negative,0.02,0,alpha
orthographic,0.02,0,alpha
dorsal medial,0.02,0,alpha
agent,0.019,0,alpha
insular,0.019,0,alpha
traits,0.019,0,alpha
amygdala,0.019,0,alpha
somatosensory cortex,0.019,0,alpha
network dmn,0.019,0,alpha
stop signal,0.019,0,alpha
modalities,0.019,0,alpha
value,0.018,0,alpha
lateral prefrontal,0.018,0,alpha
judgments,0.018,0,alpha
angular,0.018,0,alpha
subsequent memory,0.018,0,alpha
food,0.017,0,alpha
interpersonal,0.017,0,alpha
cortex posterior,0.017,0,alpha
anterior insula,0.017,0,alpha
retrieved,0.016,0,alpha
knowledge,0.016,0,alpha
dementia,0.016,0,alpha
lobule ipl,0.016,0,alpha
form,0.016,0,alpha
verbal fluency,0.016,0,alpha
stream,0.016,0,alpha
reasoning,0.016,0,alpha
autobiographical memory,0.016,0,alpha
expressions,0.015,0,alpha
emotions,0.015,0,alpha
posterior inferior,0.015,0,alpha
dorsolateral,0.015,0,alpha
oral,0.015,0,alpha
anterior prefrontal,0.015,0,alpha
gyrus medial,0.015,0,alpha
middle inferior,0.015,0,alpha
spectrum disorders,0.015,0,alpha
dmn,0.015,0,alpha
rt,0.015,0,alpha
tpj,0.014,0,alpha
ventral medial,0.014,0,alpha
salient,0.014,0,alpha
signal task,0.014,0,alpha
percept,0.014,0,alpha
anterior medial,0.014,0,alpha
dacc,0.014,0,alpha
judgment task,0.014,0,alpha
opercular,0.014,0,alpha
taste,0.014,0,alpha
verbal,0.013,0,alpha
inferior temporal,0.013,0,alpha
s1,0.013,0,alpha
negative affect,0.013,0,alpha
primary somatosensory,0.013,0,alpha
ipl,0.013,0,alpha
lateral parietal,0.013,0,alpha
choose,0.013,0,alpha
negative positive,0.013,0,alpha
amygdala anterior,0.012,0,alpha
parietal junction,0.012,0,alpha
ventrolateral prefrontal,0.012,0,alpha
socially,0.012,0,alpha
rehearsal,0.012,0,alpha
rostral,0.012,0,alpha
character,0.012,0,alpha
medial orbitofrontal,0.012,0,alpha
craving,0.012,0,alpha
default mode,0.012,0,alpha
people,0.012,0,alpha
pairs,0.011,0,alpha
ventral premotor,0.011,0,alpha
inferior prefrontal,0.011,0,alpha
inferences,0.011,0,alpha
frontal cortex,0.011,0,alpha
cortex dacc,0.011,0,alpha
asd,0.011,0,alpha
readers,0.011,0,alpha
bodily,0.011,0,alpha
tools,0.011,0,alpha
dorsolateral pfc,0.011,0,alpha
gestures,0.011,0,alpha
success,0.01,0,alpha
gyrus middle,0.01,0,alpha
feelings,0.01,0,alpha
conflict,0.01,0,alpha
error,0.01,0,alpha
ratings,0.01,0,alpha
parietal temporal,0.01,0,alpha
frontopolar,0.01,0,alpha
items,0.01,0,alpha
subgenual,0.01,0,alpha
opercularis,0.01,0,alpha
reactions,0.01,0,alpha
health,0.01,0,alpha
cortex amygdala,0.01,0,alpha
medial frontal,0.01,0,alpha
competing,0.009,0,alpha
orbital,0.009,0,alpha
errors,0.009,0,alpha
facial expressions,0.009,0,alpha
asymmetry,0.009,0,alpha
amygdala hippocampus,0.009,0,alpha
regulate,0.009,0,alpha
gyrus posterior,0.009,0,alpha
rating,0.009,0,alpha
money,0.009,0,alpha
personality,0.009,0,alpha
somatosensory,0.009,0,alpha
resting state,0.009,0,alpha
dorsolateral prefrontal,0.009,0,alpha
spectrum,0.008,0,alpha
cognitive emotional,0.008,0,alpha
control processes,0.008,0,alpha
intensity,0.008,0,alpha
violations,0.008,0,alpha
simulation,0.008,0,alpha
magnetoencephalography,0.008,0,alpha
facial,0.008,0,alpha
salience network,0.008,0,alpha
contextual,0.008,0,alpha
evaluations,0.008,0,alpha
thoughts,0.008,0,alpha
forms,0.008,0,alpha
human,0.008,0,alpha
control network,0.008,0,alpha
primary,0.008,0,alpha
frontal operculum,0.008,0,alpha
inhibit,0.008,0,alpha
stroop task,0.008,0,alpha
executive,0.007,0,alpha
oddball,0.007,0,alpha
engagement,0.007,0,alpha
thought,0.007,0,alpha
events,0.007,0,alpha
gyrus inferior,0.007,0,alpha
smoking,0.007,0,alpha
demanding,0.007,0,alpha
gyrus ba,0.007,0,alpha
olfactory,0.007,0,alpha
inferior parietal,0.007,0,alpha
manipulation,0.007,0,alpha
intention,0.007,0,alpha
stop,0.007,0,alpha
strategic,0.007,0,alpha
autism spectrum,0.007,0,alpha
temporal cortices,0.007,0,alpha
ba,0.007,0,alpha
rules,0.007,0,alpha
ptsd,0.007,0,alpha
remembering,0.007,0,alpha
instructions,0.007,0,alpha
emotion regulation,0.006,0,alpha
eating,0.006,0,alpha
experiencing,0.006,0,alpha
reversal,0.006,0,alpha
default network,0.006,0,alpha
subjective,0.006,0,alpha
hub,0.006,0,alpha
sensory motor,0.006,0,alpha
consolidation,0.006,0,alpha
word pairs,0.006,0,alpha
choices,0.006,0,alpha
emotional valence,0.006,0,alpha
rhythm,0.006,0,alpha
correctly,0.005,0,alpha
recognized,0.005,0,alpha
congruent incongruent,0.005,0,alpha
associative,0.005,0,alpha
decision making,0.005,0,alpha
domain general,0.005,0,alpha
cortex hippocampus,0.005,0,alpha
arousal,0.005,0,alpha
midline,0.005,0,alpha
prefrontal parietal,0.005,0,alpha
strategy,0.005,0,alpha
retention,0.005,0,alpha
familiarity,0.005,0,alpha
lateral frontal,0.005,0,alpha
parahippocampus,0.005,0,alpha
recognition task,0.005,0,alpha
demands,0.005,0,alpha
interoceptive,0.005,0,alpha
likelihood,0.005,0,alpha
nociceptive,0.005,0,alpha
amnestic,0.005,0,alpha
sensory information,0.005,0,alpha
implicit,0.005,0,alpha
sensation,0.004,0,alpha
disorder ocd,0.004,0,alpha
spatiotemporal,0.004,0,alpha
separation,0.004,0,alpha
gyrus insula,0.004,0,alpha
neutral,0.004,0,alpha
memory test,0.004,0,alpha
unpleasant,0.004,0,alpha
anterior insular,0.004,0,alpha
inhibitory control,0.004,0,alpha
decision,0.004,0,alpha
cingulate cortices,0.004,0,alpha
decisions,0.004,0,alpha
cortex middle,0.004,0,alpha
outcomes,0.004,0,alpha
picture,0.003,0,alpha
skin,0.003,0,alpha
similarity,0.003,0,alpha
integrate,0.003,0,alpha
priming,0.003,0,alpha
ocd,0.003,0,alpha
frontal gyri,0.003,0,alpha
placebo,0.003,0,alpha
cognitive function,0.003,0,alpha
middle frontal,0.003,0,alpha
encoded,0.003,0,alpha
stroop,0.003,0,alpha
ventral anterior,0.003,0,alpha
incongruent,0.003,0,alpha
impulsivity,0.003,0,alpha
suppressed,0.003,0,alpha
aversive,0.003,0,alpha
endogenous,0.003,0,alpha
low level,0.003,0,alpha
response inhibition,0.003,0,alpha
trait,0.003,0,alpha
dlpfc,0.003,0,alpha
chinese,0.002,0,alpha
cortex superior,0.002,0,alpha
frontal lobe,0.002,0,alpha
older adults,0.002,0,alpha
regulation,0.002,0,alpha
self reported,0.002,0,alpha
epilepsy,0.002,0,alpha
controls,0.002,0,alpha
chosen,0.002,0,alpha
preferences,0.002,0,alpha
precentral gyrus,0.002,0,alpha
neutral pictures,0.002,0,alpha
lobe,0.002,0,alpha
genes,0.002,0,alpha
high risk,0.002,0,alpha
dorsal ventral,0.002,0,alpha
cognitive control,0.002,0,alpha
ad,0.002,0,alpha
frontal cortices,0.002,0,alpha
brodmann,0.002,0,alpha
stress,0.002,0,alpha
referred,0.002,0,alpha
reaction,0.002,0,alpha
insula inferior,0.001,0,alpha
disease ad,0.001,0,alpha
uncertain,0.001,0,alpha
skin conductance,0.001,0,alpha
biomarker,0.001,0,alpha
compulsive disorder,0.001,0,alpha
atrophy,0.001,0,alpha
anxiety,0.001,0,alpha
cues,0.001,0,alpha
cognitive processes,0.001,0,alpha
anger,0.001,0,alpha
photographs,0.001,0,alpha
memory retrieval,0.001,0,alpha
cognitively,0.001,0,alpha
fronto striatal,0.001,0,alpha
choice,0.001,0,alpha
response times,0.001,0,alpha
frontal lobes,0.001,0,alpha
disgust,0.001,0,alpha
german,0.001,0,alpha
response selection,0.001,0,alpha
hyperactivation,0.001,0,alpha
appraisal,0.001,0,alpha
negative feedback,0.001,0,alpha
paired,0.001,0,alpha
anxiety disorders,0.001,0,alpha
cortex dlpfc,0.001,0,alpha
sources,0.001,0,alpha
instruction,0.001,0,alpha
metabolic,0.0,0,alpha
facial expression,0.0,0,alpha
control,0.0,0,alpha
aging,0.0,0,alpha
alzheimer disease,0.0,0,alpha
contexts,0.0,0,alpha
generation,0.0,0,alpha
sulci,0.0,0,alpha
dominance,0.0,0,alpha
consistency,0.0,0,alpha
magnitude,0.0,0,alpha
prefrontal cortices,0.0,0,alpha
autism,0.0,0,alpha
injury,0.0,0,alpha
expressed,0.0,0,alpha
motor response,0.0,0,alpha
uncertainty,0.0,0,alpha
imagine,0.0,0,alpha
fear,0.0,0,alpha
relational,0.0,0,alpha
behavior,0.0,0,alpha
track,0.0,0,alpha
anterior hippocampus,0.0,0,alpha
negative emotions,0.0,0,alpha
control task,0.0,0,alpha
emotional responses,0.0,0,alpha
questionnaire,0.0,0,alpha
emotional information,0.0,0,alpha
conductance,0.0,0,alpha
alzheimer,0.0,0,alpha
neocortical,0.0,0,alpha
parietal lobes,0.0,0,alpha
categorization,0.0,0,alpha
mci,0.0,0,alpha
correct,0.0,0,alpha
abuse,0.0,0,alpha
amygdala insula,0.0,0,alpha
risk,0.0,0,alpha
progressive,0.0,0,alpha
sad,0.0,0,alpha
prospective,0.0,0,alpha
depressed,-0.001,0,alpha
life,-0.001,0,alpha
gyrus anterior,-0.001,0,alpha
size,-0.001,0,alpha
associations,-0.001,0,alpha
act,-0.001,0,alpha
bilaterally,-0.001,0,alpha
externally,-0.001,0,alpha
hypoactivation,-0.001,0,alpha
controlled,-0.001,0,alpha
behavioral measures,-0.001,0,alpha
relevance,-0.001,0,alpha
consciousness,-0.001,0,alpha
memory tasks,-0.001,0,alpha
avoid,-0.001,0,alpha
confounding,-0.001,0,alpha
posttraumatic,-0.001,0,alpha
medial superior,-0.001,0,alpha
children,-0.001,0,alpha
inhibitory,-0.001,0,alpha
integrative,-0.001,0,alpha
limbic,-0.001,0,alpha
add,-0.001,0,alpha
adolescence,-0.001,0,alpha
brains,-0.001,0,alpha
adolescent,-0.001,0,alpha
everyday,-0.001,0,alpha
sleep,-0.001,0,alpha
constraints,-0.001,0,alpha
persons,-0.001,0,alpha
ability,-0.001,0,alpha
computation,-0.001,0,alpha
childhood,-0.001,0,alpha
everyday life,-0.001,0,alpha
emotional stimuli,-0.001,0,alpha
identification,-0.001,0,alpha
incorrect,-0.001,0,alpha
novelty,-0.001,0,alpha
lesions,-0.001,0,alpha
self report,-0.001,0,alpha
dimensions,-0.001,0,alpha
organization,-0.001,0,alpha
female,-0.001,0,alpha
learn,-0.001,0,alpha
stress disorder,-0.001,0,alpha
pressure,-0.001,0,alpha
substance,-0.001,0,alpha
goal,-0.001,0,alpha
focus,-0.001,0,alpha
probability,-0.001,0,alpha
preference,-0.001,0,alpha
diagnosis,-0.001,0,alpha
therapy,-0.001,0,alpha
deficits,-0.001,0,alpha
accurate,-0.001,0,alpha
concept,-0.001,0,alpha
deficit,-0.001,0,alpha
hoc,-0.001,0,alpha
gyri,-0.001,0,alpha
cerebral,-0.001,0,alpha
adults,-0.001,0,alpha
covert,-0.001,0,alpha
vulnerability,-0.001,0,alpha
individual variability,-0.001,0,alpha
frequency,-0.001,0,alpha
attention task,-0.001,0,alpha
behavioral performance,-0.001,0,alpha
age,-0.001,0,alpha
expectation,-0.001,0,alpha
salience,-0.001,0,alpha
family,-0.001,0,alpha
mapping,-0.001,0,alpha
interactions,-0.001,0,alpha
depression,-0.001,0,alpha
chronic,-0.002,0,alpha
depressive disorder,-0.002,0,alpha
discrimination,-0.002,0,alpha
negativity,-0.002,0,alpha
decision task,-0.002,0,alpha
discriminate,-0.002,0,alpha
frontal parietal,-0.002,0,alpha
consumption,-0.002,0,alpha
deficient,-0.002,0,alpha
memory task,-0.002,0,alpha
mm,-0.002,0,alpha
signaling,-0.002,0,alpha
executive functions,-0.002,0,alpha
serotonin,-0.002,0,alpha
damage,-0.002,0,alpha
adhd,-0.002,0,alpha
capacity,-0.002,0,alpha
humans,-0.002,0,alpha
regulating,-0.002,0,alpha
hemispheric,-0.002,0,alpha
intelligence,-0.002,0,alpha
maps,-0.002,0,alpha
awareness,-0.002,0,alpha
illness,-0.002,0,alpha
balance,-0.002,0,alpha
expectations,-0.002,0,alpha
long term,-0.002,0,alpha
adolescents,-0.002,0,alpha
inconsistent,-0.002,0,alpha
deficit hyperactivity,-0.002,0,alpha
episode,-0.002,0,alpha
lesion,-0.002,0,alpha
heart,-0.002,0,alpha
time task,-0.002,0,alpha
task demands,-0.002,0,alpha
subsequent,-0.002,0,alpha
exploratory,-0.002,0,alpha
lexical decision,-0.002,0,alpha
strategies,-0.002,0,alpha
obsessive,-0.002,0,alpha
cortex pcc,-0.002,0,alpha
cortical,-0.002,0,alpha
mdd,-0.002,0,alpha
head,-0.002,0,alpha
disorder ptsd,-0.002,0,alpha
behavioral,-0.002,0,alpha
psychotic,-0.002,0,alpha
inferior middle,-0.002,0,alpha
induction,-0.002,0,alpha
executive function,-0.002,0,alpha
sizes,-0.002,0,alpha
recall,-0.002,0,alpha
distraction,-0.002,0,alpha
pair,-0.002,0,alpha
conscious,-0.002,0,alpha
explicit,-0.002,0,alpha
competition,-0.002,0,alpha
visual information,-0.002,0,alpha
suppression,-0.002,0,alpha
source,-0.002,0,alpha
major depressive,-0.002,0,alpha
accurately,-0.002,0,alpha
binding,-0.002,0,alpha
abilities,-0.002,0,alpha
prime,-0.002,0,alpha
addition,-0.002,0,alpha
drugs,-0.002,0,alpha
behavioral responses,-0.002,0,alpha
reho,-0.002,0,alpha
poor,-0.002,0,alpha
obsessive compulsive,-0.002,0,alpha
experience,-0.002,0,alpha
effort,-0.002,0,alpha
mesial,-0.002,0,alpha
updating,-0.002,0,alpha
cerebral cortex,-0.002,0,alpha
interactive,-0.002,0,alpha
impulsive,-0.002,0,alpha
oriented,-0.002,0,alpha
symptom,-0.002,0,alpha
hyperactivity disorder,-0.002,0,alpha
metabolism,-0.002,0,alpha
hc,-0.002,0,alpha
reference,-0.002,0,alpha
gyrus mfg,-0.002,0,alpha
developmental,-0.002,0,alpha
affect,-0.002,0,alpha
values,-0.002,0,alpha
cognitive impairment,-0.002,0,alpha
cortex bilaterally,-0.002,0,alpha
sex,-0.002,0,alpha
education,-0.002,0,alpha
reaction times,-0.002,0,alpha
effortful,-0.002,0,alpha
sustained attention,-0.003,0,alpha
target detection,-0.003,0,alpha
cingulate gyrus,-0.003,0,alpha
drug,-0.003,0,alpha
alcohol,-0.003,0,alpha
spatially,-0.003,0,alpha
dimension,-0.003,0,alpha
predictive,-0.003,0,alpha
executive control,-0.003,0,alpha
gamma,-0.003,0,alpha
regulatory,-0.003,0,alpha
cortex dorsal,-0.003,0,alpha
cortex vlpfc,-0.003,0,alpha
hyperactivity,-0.003,0,alpha
major depression,-0.003,0,alpha
performance task,-0.003,0,alpha
image,-0.003,0,alpha
concentration,-0.003,0,alpha
consecutive,-0.003,0,alpha
pharmacological,-0.003,0,alpha
solving,-0.003,0,alpha
cognitive performance,-0.003,0,alpha
gain,-0.003,0,alpha
disorder mdd,-0.003,0,alpha
animals,-0.003,0,alpha
parietal cortices,-0.003,0,alpha
correction,-0.003,0,alpha
reactivity,-0.003,0,alpha
rsfc,-0.003,0,alpha
morphology,-0.003,0,alpha
avoidance,-0.003,0,alpha
remember,-0.003,0,alpha
sensitivity,-0.003,0,alpha
symptom severity,-0.003,0,alpha
manipulations,-0.003,0,alpha
mfg,-0.003,0,alpha
reaction time,-0.003,0,alpha
short term,-0.003,0,alpha
complex,-0.003,0,alpha
distractor,-0.003,0,alpha
ventral striatum,-0.003,0,alpha
attention deficit,-0.003,0,alpha
smokers,-0.003,0,alpha
rule,-0.003,0,alpha
discriminated,-0.003,0,alpha
bipolar disorder,-0.003,0,alpha
adulthood,-0.003,0,alpha
interval,-0.003,0,alpha
al,-0.003,0,alpha
sustained,-0.003,0,alpha
cortex insula,-0.003,0,alpha
efficiency,-0.003,0,alpha
anterior posterior,-0.003,0,alpha
placebo controlled,-0.003,0,alpha
categorical,-0.003,0,alpha
difficulty,-0.003,0,alpha
amygdala responses,-0.003,0,alpha
met,-0.003,0,alpha
distractors,-0.003,0,alpha
feeling,-0.003,0,alpha
bipolar,-0.003,0,alpha
evaluation,-0.003,0,alpha
episodes,-0.003,0,alpha
rs,-0.003,0,alpha
mild cognitive,-0.003,0,alpha
sclerosis,-0.003,0,alpha
oscillations,-0.003,0,alpha
negative emotional,-0.003,0,alpha
disorder adhd,-0.003,0,alpha
sham,-0.003,0,alpha
match,-0.003,0,alpha
dysregulation,-0.003,0,alpha
motor responses,-0.003,0,alpha
digit,-0.003,0,alpha
losses,-0.004,0,alpha
amygdala response,-0.004,0,alpha
expression,-0.004,0,alpha
threatening,-0.004,0,alpha
td,-0.004,0,alpha
females,-0.004,0,alpha
loss,-0.004,0,alpha
cognitive tasks,-0.004,0,alpha
postcentral gyrus,-0.004,0,alpha
attenuation,-0.004,0,alpha
compulsive,-0.004,0,alpha
attentional control,-0.004,0,alpha
alff,-0.004,0,alpha
cortex medial,-0.004,0,alpha
light,-0.004,0,alpha
discrimination task,-0.004,0,alpha
cortex inferior,-0.004,0,alpha
biomarkers,-0.004,0,alpha
congruent,-0.004,0,alpha
suffering,-0.004,0,alpha
capture,-0.004,0,alpha
beta,-0.004,0,alpha
invasive,-0.004,0,alpha
morphological,-0.004,0,alpha
chronic pain,-0.004,0,alpha
pre supplementary,-0.004,0,alpha
sensations,-0.004,0,alpha
blind,-0.004,0,alpha
cognitive functions,-0.004,0,alpha
decline,-0.004,0,alpha
pcc,-0.004,0,alpha
unexpected,-0.004,0,alpha
disease,-0.004,0,alpha
iq,-0.004,0,alpha
probabilistic,-0.004,0,alpha
controlling,-0.004,0,alpha
behaviors,-0.004,0,alpha
acts,-0.004,0,alpha
gm,-0.004,0,alpha
emotionally,-0.004,0,alpha
cognitive,-0.004,0,alpha
cortex ba,-0.004,0,alpha
heart rate,-0.005,0,alpha
classical,-0.005,0,alpha
mnemonic,-0.005,0,alpha
cognitive deficits,-0.005,0,alpha
actions,-0.005,0,alpha
hemispheres,-0.005,0,alpha
rewards,-0.005,0,alpha
diseases,-0.005,0,alpha
difficult,-0.005,0,alpha
extinction,-0.005,0,alpha
prefrontal cortical,-0.005,0,alpha
wm task,-0.005,0,alpha
learned,-0.005,0,alpha
prediction,-0.005,0,alpha
mg,-0.005,0,alpha
fc,-0.005,0,alpha
integrity,-0.005,0,alpha
multiple sclerosis,-0.005,0,alpha
delay,-0.005,0,alpha
hubs,-0.005,0,alpha
alpha,-0.005,0,alpha
cue,-0.005,0,alpha
disorders,-0.005,0,alpha
spectrum disorder,-0.005,0,alpha
names,-0.005,0,alpha
expectancy,-0.005,0,alpha
risk taking,-0.005,0,alpha
neutral stimuli,-0.005,0,alpha
concurrently,-0.005,0,alpha
anticipatory,-0.005,0,alpha
functional connectivity,-0.005,0,alpha
middle cingulate,-0.005,0,alpha
repetition suppression,-0.005,0,alpha
exploration,-0.005,0,alpha
memory performance,-0.005,0,alpha
reward,-0.005,0,alpha
plasticity,-0.005,0,alpha
cortex involved,-0.005,0,alpha
gambling,-0.005,0,alpha
adaptation,-0.005,0,alpha
storage,-0.006,0,alpha
animal,-0.006,0,alpha
cortex dorsolateral,-0.006,0,alpha
subcortical structures,-0.006,0,alpha
detection task,-0.006,0,alpha
punishment,-0.006,0,alpha
parietal lobe,-0.006,0,alpha
neutral faces,-0.006,0,alpha
modulatory,-0.006,0,alpha
compensatory,-0.006,0,alpha
economic,-0.006,0,alpha
inhibition,-0.006,0,alpha
attending,-0.006,0,alpha
dorsal striatum,-0.006,0,alpha
reinforcement learning,-0.006,0,alpha
addiction,-0.006,0,alpha
watching,-0.006,0,alpha
characters,-0.006,0,alpha
response time,-0.006,0,alpha
outcome,-0.006,0,alpha
autonomic,-0.006,0,alpha
divided,-0.006,0,alpha
recognition memory,-0.006,0,alpha
imagined,-0.007,0,alpha
disability,-0.007,0,alpha
game,-0.007,0,alpha
monetary reward,-0.007,0,alpha
mesolimbic,-0.007,0,alpha
emotional faces,-0.007,0,alpha
detecting,-0.007,0,alpha
